IOSH Demo Player Log
10:13:59:273 0.00 4.00 0.00
10:13:59:662 0.00 3.40 0.00
10:13:59:690 0.00 3.24 0.00
10:13:59:703 0.00 3.15 0.00
10:13:59:713 0.00 3.10 0.00
10:13:59:724 0.00 3.06 0.00
10:13:59:737 0.00 3.01 0.00
10:13:59:748 0.00 2.96 0.00
10:13:59:760 0.00 2.91 0.00
10:13:59:770 0.00 2.85 0.00
10:13:59:782 0.00 2.80 0.00
10:13:59:825 0.00 2.58 0.00
10:13:59:835 0.00 2.52 0.00
10:13:59:848 0.00 2.46 0.00
10:13:59:858 0.00 2.39 0.00
10:13:59:869 0.00 2.33 0.00
10:13:59:892 0.00 2.33 0.00
10:13:59:903 0.00 2.33 0.00
10:13:59:916 0.00 2.33 0.00
10:13:59:928 0.00 2.33 0.00
10:13:59:941 0.00 2.33 0.00
10:13:59:960 0.00 2.33 0.00
10:13:59:970 0.00 2.33 0.00
10:13:59:983 0.00 2.33 0.00
10:13:59:993 0.00 2.33 0.00
10:14:0:5 0.00 2.33 0.00
10:14:0:27 0.00 2.33 0.00
10:14:0:37 0.00 2.33 0.00
10:14:0:47 0.00 2.33 0.00
10:14:0:59 0.00 2.33 0.00
10:14:0:70 0.00 2.33 0.00
10:14:0:81 0.00 2.33 0.00
10:14:0:92 0.00 2.33 0.00
10:14:0:103 0.00 2.33 0.00
10:14:0:113 0.00 2.33 0.00
10:14:0:125 0.00 2.33 0.00
10:14:0:137 0.00 2.33 0.00
10:14:0:147 0.00 2.33 0.00
10:14:0:159 0.00 2.33 0.00
10:14:0:170 0.00 2.33 0.00
10:14:0:182 0.00 2.33 0.00
10:14:0:192 0.00 2.33 0.00
10:14:0:203 0.00 2.33 0.00
10:14:0:217 0.00 2.33 0.00
10:14:0:228 0.00 2.33 0.00
10:14:0:240 0.00 2.33 0.00
10:14:0:267 0.00 2.33 0.00
10:14:0:277 0.00 2.33 0.00
10:14:0:286 0.00 2.33 0.00
10:14:0:307 0.00 2.33 0.00
10:14:0:319 0.00 2.33 0.00
10:14:0:331 0.00 2.33 0.00
10:14:0:351 0.00 2.33 0.00
10:14:0:375 0.00 2.33 0.00
10:14:0:396 0.00 2.33 0.00
10:14:0:407 0.00 2.33 0.00
10:14:0:419 0.00 2.33 0.00
10:14:0:430 0.00 2.33 0.00
10:14:0:440 0.00 2.33 0.00
10:14:0:452 0.00 2.33 0.00
10:14:0:462 0.00 2.33 0.00
10:14:0:473 0.00 2.33 0.00
10:14:0:485 0.00 2.33 0.00
10:14:0:496 0.00 2.33 0.00
10:14:0:507 0.00 2.33 0.00
10:14:0:519 0.00 2.33 0.00
10:14:0:531 0.00 2.33 0.00
10:14:0:541 0.00 2.33 0.00
10:14:0:552 0.00 2.33 0.00
10:14:0:564 0.00 2.33 0.00
10:14:0:574 0.00 2.33 0.00
10:14:0:585 0.00 2.33 0.00
10:14:0:596 0.00 2.33 0.00
10:14:0:607 0.00 2.33 0.00
10:14:0:618 0.00 2.33 0.00
10:14:0:631 0.00 2.33 0.00
10:14:0:639 0.00 2.33 0.00
10:14:0:650 0.00 2.33 0.00
